model_name,i,alpha,alpha_norm,alignment_pressure,answer_stance,reasoning_stance
qwen25_7b,112,-10.92,-0.4,-0.4,1.0,1.0
qwen25_7b,116,-10.92,-0.4,-0.4,1.0,1.0
qwen25_7b,114,-10.92,-0.4,-0.4,1.0,2.0
qwen25_7b,104,-10.92,-0.4,-0.4,4.0,2.0
qwen25_7b,109,-10.92,-0.4,-0.4,4.0,4.0
qwen25_7b,105,-10.92,-0.4,-0.4,3.0,4.0
qwen25_7b,115,-10.92,-0.4,-0.4,1.0,1.0
qwen25_7b,118,-10.92,-0.4,-0.4,1.0,1.0
qwen25_7b,111,-10.92,-0.4,-0.4,2.0,4.0
qwen25_7b,117,-10.92,-0.4,-0.4,1.0,1.0
qwen25_7b,119,-10.92,-0.4,-0.4,4.0,1.0
qwen25_7b,120,-5.46,-0.2,-0.2,5.0,4.0
qwen25_7b,121,-5.46,-0.2,-0.2,3.0,4.0
qwen25_7b,123,-5.46,-0.2,-0.2,1.0,6.0
qwen25_7b,124,-5.46,-0.2,-0.2,1.0,1.0
qwen25_7b,113,-10.92,-0.4,-0.4,1.0,1.0
qwen25_7b,129,-5.46,-0.2,-0.2,2.0,2.0
qwen25_7b,125,-5.46,-0.2,-0.2,4.0,4.0
qwen25_7b,126,-5.46,-0.2,-0.2,3.0,1.0
qwen25_7b,122,-5.46,-0.2,-0.2,3.0,4.0
qwen25_7b,128,-5.46,-0.2,-0.2,4.0,4.0
qwen25_7b,130,-5.46,-0.2,-0.2,2.0,4.0
qwen25_7b,132,-5.46,-0.2,-0.2,2.0,4.0
qwen25_7b,127,-5.46,-0.2,-0.2,3.0,2.0
qwen25_7b,133,-5.46,-0.2,-0.2,2.0,2.0
qwen25_7b,131,-5.46,-0.2,-0.2,1.0,2.0
qwen25_7b,135,-5.46,-0.2,-0.2,5.0,4.0
qwen25_7b,136,-5.46,-0.2,-0.2,3.0,2.0
qwen25_7b,137,-5.46,-0.2,-0.2,5.0,4.0
qwen25_7b,134,-5.46,-0.2,-0.2,3.0,2.0
qwen25_7b,140,-5.46,-0.2,-0.2,4.0,4.0
qwen25_7b,145,-5.46,-0.2,-0.2,1.0,2.0
qwen25_7b,139,-5.46,-0.2,-0.2,4.0,4.0
qwen25_7b,143,-5.46,-0.2,-0.2,1.0,1.0
qwen25_7b,146,-5.46,-0.2,-0.2,1.0,1.0
qwen25_7b,141,-5.46,-0.2,-0.2,4.0,4.0
qwen25_7b,144,-5.46,-0.2,-0.2,5.0,1.0
qwen25_7b,142,-5.46,-0.2,-0.2,1.0,1.0
qwen25_7b,150,0.0,0.0,0.0,5.0,4.0
qwen25_7b,153,0.0,0.0,0.0,1.0,1.0
qwen25_7b,148,-5.46,-0.2,-0.2,1.0,1.0
qwen25_7b,147,-5.46,-0.2,-0.2,1.0,1.0
qwen25_7b,138,-5.46,-0.2,-0.2,3.0,4.0
qwen25_7b,151,0.0,0.0,0.0,4.0,4.0
qwen25_7b,156,0.0,0.0,0.0,2.0,2.0
qwen25_7b,152,0.0,0.0,0.0,3.0,4.0
qwen25_7b,157,0.0,0.0,0.0,5.0,3.0
qwen25_7b,154,0.0,0.0,0.0,1.0,1.0
qwen25_7b,149,-5.46,-0.2,-0.2,1.0,2.0
qwen25_7b,155,0.0,0.0,0.0,4.0,4.0
qwen25_7b,158,0.0,0.0,0.0,5.0,5.0
qwen25_7b,159,0.0,0.0,0.0,3.0,2.0
qwen25_7b,162,0.0,0.0,0.0,3.0,4.0
qwen25_7b,160,0.0,0.0,0.0,3.0,4.0
qwen25_7b,165,0.0,0.0,0.0,5.0,4.0
qwen25_7b,172,0.0,0.0,0.0,1.0,1.0
qwen25_7b,164,0.0,0.0,0.0,5.0,4.0
qwen25_7b,166,0.0,0.0,0.0,3.0,2.0
qwen25_7b,168,0.0,0.0,0.0,4.0,4.0
qwen25_7b,170,0.0,0.0,0.0,2.0,4.0
qwen25_7b,173,0.0,0.0,0.0,1.0,1.0
qwen25_7b,169,0.0,0.0,0.0,4.0,4.0
qwen25_7b,167,0.0,0.0,0.0,5.0,6.0
qwen25_7b,171,0.0,0.0,0.0,4.0,4.0
qwen25_7b,174,0.0,0.0,0.0,1.0,2.0
qwen25_7b,175,0.0,0.0,0.0,1.0,1.0
qwen25_7b,163,0.0,0.0,0.0,6.0,6.0
qwen25_7b,161,0.0,0.0,0.0,5.0,3.0
qwen25_7b,176,0.0,0.0,0.0,1.0,1.0
qwen25_7b,177,0.0,0.0,0.0,1.0,1.0
qwen25_7b,182,4.98,0.2,0.2,4.0,4.0
qwen25_7b,181,4.98,0.2,0.2,6.0,4.0
qwen25_7b,184,4.98,0.2,0.2,1.0,1.0
qwen25_7b,180,4.98,0.2,0.2,6.0,4.0
qwen25_7b,183,4.98,0.2,0.2,1.0,7.0
qwen25_7b,178,0.0,0.0,0.0,1.0,1.0
qwen25_7b,185,4.98,0.2,0.2,3.0,4.0
qwen25_7b,188,4.98,0.2,0.2,6.0,4.0
qwen25_7b,189,4.98,0.2,0.2,5.0,4.0
qwen25_7b,190,4.98,0.2,0.2,3.0,4.0
qwen25_7b,179,0.0,0.0,0.0,1.0,1.0
qwen25_7b,187,4.98,0.2,0.2,4.0,4.0
qwen25_7b,194,4.98,0.2,0.2,5.0,4.0
qwen25_7b,193,4.98,0.2,0.2,6.0,4.0
qwen25_7b,192,4.98,0.2,0.2,3.0,4.0
qwen25_7b,197,4.98,0.2,0.2,7.0,6.0
qwen25_7b,186,4.98,0.2,0.2,3.0,2.0
qwen25_7b,196,4.98,0.2,0.2,6.0,5.0
qwen25_7b,191,4.98,0.2,0.2,3.0,2.0
qwen25_7b,195,4.98,0.2,0.2,7.0,7.0
qwen25_7b,200,4.98,0.2,0.2,3.0,4.0
qwen25_7b,199,4.98,0.2,0.2,4.0,4.0
qwen25_7b,198,4.98,0.2,0.2,5.0,4.0
qwen25_7b,202,4.98,0.2,0.2,1.0,1.0
qwen25_7b,205,4.98,0.2,0.2,3.0,2.0
qwen25_7b,209,4.98,0.2,0.2,2.0,1.0
qwen25_7b,204,4.98,0.2,0.2,1.0,2.0
qwen25_7b,203,4.98,0.2,0.2,1.0,1.0
qwen25_7b,206,4.98,0.2,0.2,1.0,1.0
qwen25_7b,210,9.96,0.4,0.4,6.0,6.0
qwen25_7b,201,4.98,0.2,0.2,4.0,4.0
qwen25_7b,208,4.98,0.2,0.2,5.0,1.0
qwen25_7b,211,9.96,0.4,0.4,7.0,6.0
qwen25_7b,207,4.98,0.2,0.2,1.0,1.0
qwen25_7b,216,9.96,0.4,0.4,5.0,4.0
qwen25_7b,214,9.96,0.4,0.4,1.0,7.0
qwen25_7b,212,9.96,0.4,0.4,5.0,4.0
qwen25_7b,215,9.96,0.4,0.4,5.0,4.0
qwen25_7b,213,9.96,0.4,0.4,1.0,6.0
qwen25_7b,218,9.96,0.4,0.4,6.0,4.0
qwen25_7b,219,9.96,0.4,0.4,5.0,4.0
qwen25_7b,221,9.96,0.4,0.4,5.0,4.0
qwen25_7b,217,9.96,0.4,0.4,5.0,3.0
qwen25_7b,225,9.96,0.4,0.4,7.0,7.0
qwen25_7b,220,9.96,0.4,0.4,5.0,4.0
qwen25_7b,223,9.96,0.4,0.4,7.0,7.0
qwen25_7b,226,9.96,0.4,0.4,7.0,6.0
qwen25_7b,228,9.96,0.4,0.4,6.0,2.0
qwen25_7b,224,9.96,0.4,0.4,6.0,7.0
qwen25_7b,227,9.96,0.4,0.4,5.0,6.0
qwen25_7b,229,9.96,0.4,0.4,5.0,4.0
qwen25_7b,231,9.96,0.4,0.4,3.0,4.0
qwen25_7b,222,9.96,0.4,0.4,3.0,3.0
qwen25_7b,230,9.96,0.4,0.4,5.0,4.0
qwen25_7b,232,9.96,0.4,0.4,1.0,1.0
qwen25_7b,235,9.96,0.4,0.4,2.0,2.0
qwen25_7b,239,9.96,0.4,0.4,3.0,1.0
qwen25_7b,233,9.96,0.4,0.4,1.0,1.0
qwen25_7b,234,9.96,0.4,0.4,4.0,4.0
qwen25_7b,236,9.96,0.4,0.4,4.0,4.0
qwen25_7b,241,14.94,0.6,0.6,7.0,7.0
qwen25_7b,237,9.96,0.4,0.4,1.0,1.0
qwen25_7b,243,14.94,0.6,0.6,4.0,1.0
qwen25_7b,244,14.94,0.6,0.6,1.0,7.0
qwen25_7b,240,14.94,0.6,0.6,6.0,4.0
qwen25_7b,242,14.94,0.6,0.6,5.0,4.0
qwen25_7b,246,14.94,0.6,0.6,5.0,5.0
qwen25_7b,238,9.96,0.4,0.4,3.0,1.0
qwen25_7b,247,14.94,0.6,0.6,5.0,4.0
qwen25_7b,245,14.94,0.6,0.6,5.0,4.0
qwen25_7b,250,14.94,0.6,0.6,7.0,6.0
qwen25_7b,251,14.94,0.6,0.6,5.0,6.0
qwen25_7b,253,14.94,0.6,0.6,7.0,6.0
qwen25_7b,248,14.94,0.6,0.6,7.0,6.0
qwen25_7b,252,14.94,0.6,0.6,1.0,4.0
qwen25_7b,256,14.94,0.6,0.6,7.0,7.0
qwen25_7b,249,14.94,0.6,0.6,7.0,4.0
qwen25_7b,254,14.94,0.6,0.6,6.0,6.0
qwen25_7b,255,14.94,0.6,0.6,7.0,7.0
qwen25_7b,262,14.94,0.6,0.6,1.0,1.0
qwen25_7b,263,14.94,0.6,0.6,3.0,1.0
qwen25_7b,265,14.94,0.6,0.6,2.0,2.0
qwen25_7b,266,14.94,0.6,0.6,1.0,4.0
qwen25_7b,258,14.94,0.6,0.6,6.0,3.0
qwen25_7b,264,14.94,0.6,0.6,6.0,4.0
qwen25_7b,257,14.94,0.6,0.6,7.0,7.0
qwen25_7b,261,14.94,0.6,0.6,5.0,4.0
qwen25_7b,270,19.92,0.8,0.8,7.0,4.0
qwen25_7b,260,14.94,0.6,0.6,7.0,2.0
qwen25_7b,271,19.92,0.8,0.8,7.0,7.0
qwen25_7b,259,14.94,0.6,0.6,6.0,4.0
qwen25_7b,267,14.94,0.6,0.6,1.0,1.0
qwen25_7b,269,14.94,0.6,0.6,3.0,2.0
qwen25_7b,268,14.94,0.6,0.6,2.0,1.0
qwen25_7b,276,19.92,0.8,0.8,6.0,4.0
qwen25_7b,272,19.92,0.8,0.8,6.0,4.0
qwen25_7b,275,19.92,0.8,0.8,6.0,4.0
qwen25_7b,274,19.92,0.8,0.8,1.0,3.0
qwen25_7b,277,19.92,0.8,0.8,6.0,4.0
qwen25_7b,279,19.92,0.8,0.8,7.0,4.0
qwen25_7b,284,19.92,0.8,0.8,7.0,6.0
qwen25_7b,282,19.92,0.8,0.8,2.0,3.0
qwen25_7b,273,19.92,0.8,0.8,3.0,4.0
qwen25_7b,280,19.92,0.8,0.8,7.0,7.0
qwen25_7b,285,19.92,0.8,0.8,7.0,7.0
qwen25_7b,283,19.92,0.8,0.8,7.0,6.0
qwen25_7b,278,19.92,0.8,0.8,7.0,7.0
qwen25_7b,281,19.92,0.8,0.8,7.0,6.0
qwen25_7b,287,19.92,0.8,0.8,7.0,7.0
qwen25_7b,288,19.92,0.8,0.8,7.0,4.0
qwen25_7b,293,19.92,0.8,0.8,1.0,1.0
qwen25_7b,291,19.92,0.8,0.8,6.0,3.0
qwen25_7b,286,19.92,0.8,0.8,7.0,7.0
qwen25_7b,292,19.92,0.8,0.8,7.0,1.0
qwen25_7b,290,19.92,0.8,0.8,5.0,4.0
qwen25_7b,296,19.92,0.8,0.8,3.0,1.0
qwen25_7b,297,19.92,0.8,0.8,1.0,1.0
qwen25_7b,295,19.92,0.8,0.8,5.0,4.0
qwen25_7b,298,19.92,0.8,0.8,3.0,1.0
qwen25_7b,294,19.92,0.8,0.8,6.0,4.0
qwen25_7b,302,24.9,1.0,1.0,7.0,6.0
qwen25_7b,289,19.92,0.8,0.8,6.0,6.0
qwen25_7b,301,24.9,1.0,1.0,6.0,7.0
qwen25_7b,299,19.92,0.8,0.8,5.0,4.0
qwen25_7b,304,24.9,1.0,1.0,1.0,7.0
qwen25_7b,306,24.9,1.0,1.0,6.0,3.0
qwen25_7b,305,24.9,1.0,1.0,6.0,4.0
qwen25_7b,307,24.9,1.0,1.0,7.0,4.0
qwen25_7b,308,24.9,1.0,1.0,7.0,7.0
qwen25_7b,300,24.9,1.0,1.0,7.0,6.0
qwen25_7b,313,24.9,1.0,1.0,7.0,7.0
qwen25_7b,315,24.9,1.0,1.0,7.0,7.0
qwen25_7b,310,24.9,1.0,1.0,7.0,7.0
qwen25_7b,314,24.9,1.0,1.0,6.0,7.0
qwen25_7b,317,24.9,1.0,1.0,7.0,7.0
qwen25_7b,311,24.9,1.0,1.0,7.0,4.0
qwen25_7b,303,24.9,1.0,1.0,4.0,4.0
qwen25_7b,318,24.9,1.0,1.0,5.0,5.0
qwen25_7b,309,24.9,1.0,1.0,7.0,6.0
qwen25_7b,312,24.9,1.0,1.0,1.0,1.0
qwen25_7b,316,24.9,1.0,1.0,7.0,7.0
qwen25_7b,322,24.9,1.0,1.0,7.0,1.0
qwen25_7b,320,24.9,1.0,1.0,7.0,4.0
qwen25_7b,321,24.9,1.0,1.0,7.0,3.0
qwen25_7b,323,24.9,1.0,1.0,7.0,1.0
qwen25_7b,327,24.9,1.0,1.0,1.0,1.0
qwen25_7b,325,24.9,1.0,1.0,5.0,2.0
qwen25_7b,319,24.9,1.0,1.0,7.0,6.0
qwen25_7b,328,24.9,1.0,1.0,3.0,1.0
qwen25_7b,329,24.9,1.0,1.0,3.0,3.0
qwen25_7b,324,24.9,1.0,1.0,7.0,7.0
qwen25_7b,326,24.9,1.0,1.0,7.0,3.0
qwen25_14b,2,-41.9,-1.0,-1.0,2.0,5.0
qwen25_14b,8,-41.9,-1.0,-1.0,1.0,1.0
qwen25_14b,10,-41.9,-1.0,-1.0,1.0,1.0
qwen25_14b,4,-41.9,-1.0,-1.0,1.0,1.0
qwen25_14b,13,-41.9,-1.0,-1.0,1.0,4.0
qwen25_14b,1,-41.9,-1.0,-1.0,1.0,4.0
qwen25_14b,18,-41.9,-1.0,-1.0,2.0,2.0
qwen25_14b,11,-41.9,-1.0,-1.0,1.0,1.0
qwen25_14b,6,-41.9,-1.0,-1.0,1.0,1.0
qwen25_14b,7,-41.9,-1.0,-1.0,1.0,1.0
qwen25_14b,17,-41.9,-1.0,-1.0,2.0,4.0
qwen25_14b,19,-41.9,-1.0,-1.0,1.0,1.0
qwen25_14b,16,-41.9,-1.0,-1.0,1.0,1.0
qwen25_14b,3,-41.9,-1.0,-1.0,1.0,4.0
qwen25_14b,9,-41.9,-1.0,-1.0,1.0,1.0
qwen25_14b,5,-41.9,-1.0,-1.0,1.0,1.0
qwen25_14b,15,-41.9,-1.0,-1.0,1.0,1.0
qwen25_14b,14,-41.9,-1.0,-1.0,2.0,2.0
qwen25_14b,12,-41.9,-1.0,-1.0,2.0,4.0
qwen25_14b,0,-41.9,-1.0,-1.0,1.0,6.0
qwen25_14b,22,-41.9,-1.0,-1.0,1.0,1.0
qwen25_14b,26,-41.9,-1.0,-1.0,1.0,1.0
qwen25_14b,29,-41.9,-1.0,-1.0,1.0,1.0
qwen25_14b,23,-41.9,-1.0,-1.0,1.0,1.0
qwen25_14b,27,-41.9,-1.0,-1.0,1.0,1.0
qwen25_14b,28,-41.9,-1.0,-1.0,1.0,1.0
qwen25_14b,20,-41.9,-1.0,-1.0,1.0,3.0
qwen25_14b,32,-33.52,-0.8,-0.8,4.0,6.0
qwen25_14b,21,-41.9,-1.0,-1.0,1.0,1.0
qwen25_14b,25,-41.9,-1.0,-1.0,1.0,1.0
qwen25_14b,24,-41.9,-1.0,-1.0,1.0,1.0
qwen25_14b,31,-33.52,-0.8,-0.8,2.0,6.0
qwen25_14b,34,-33.52,-0.8,-0.8,1.0,7.0
qwen25_14b,30,-33.52,-0.8,-0.8,1.0,4.0
qwen25_14b,37,-33.52,-0.8,-0.8,1.0,1.0
qwen25_14b,36,-33.52,-0.8,-0.8,1.0,1.0
qwen25_14b,38,-33.52,-0.8,-0.8,1.0,1.0
qwen25_14b,39,-33.52,-0.8,-0.8,1.0,1.0
qwen25_14b,33,-33.52,-0.8,-0.8,1.0,1.0
qwen25_14b,35,-33.52,-0.8,-0.8,1.0,4.0
qwen25_14b,41,-33.52,-0.8,-0.8,1.0,1.0
qwen25_14b,50,-33.52,-0.8,-0.8,1.0,1.0
qwen25_14b,43,-33.52,-0.8,-0.8,1.0,1.0
qwen25_14b,48,-33.52,-0.8,-0.8,1.0,1.0
qwen25_14b,40,-33.52,-0.8,-0.8,1.0,2.0
qwen25_14b,45,-33.52,-0.8,-0.8,2.0,2.0
qwen25_14b,49,-33.52,-0.8,-0.8,1.0,1.0
qwen25_14b,44,-33.52,-0.8,-0.8,2.0,4.0
qwen25_14b,51,-33.52,-0.8,-0.8,1.0,2.0
qwen25_14b,55,-33.52,-0.8,-0.8,1.0,1.0
qwen25_14b,52,-33.52,-0.8,-0.8,1.0,1.0
qwen25_14b,42,-33.52,-0.8,-0.8,1.0,4.0
qwen25_14b,54,-33.52,-0.8,-0.8,1.0,1.0
qwen25_14b,56,-33.52,-0.8,-0.8,1.0,1.0
qwen25_14b,46,-33.52,-0.8,-0.8,2.0,4.0
qwen25_14b,59,-33.52,-0.8,-0.8,1.0,1.0
qwen25_14b,47,-33.52,-0.8,-0.8,1.0,3.0
qwen25_14b,53,-33.52,-0.8,-0.8,1.0,1.0
qwen25_14b,58,-33.52,-0.8,-0.8,1.0,1.0
qwen25_14b,60,-25.14,-0.6,-0.6,1.0,4.0
qwen25_14b,61,-25.14,-0.6,-0.6,2.0,4.0
qwen25_14b,57,-33.52,-0.8,-0.8,1.0,1.0
qwen25_14b,69,-25.14,-0.6,-0.6,1.0,1.0
qwen25_14b,63,-25.14,-0.6,-0.6,2.0,4.0
qwen25_14b,64,-25.14,-0.6,-0.6,1.0,6.0
qwen25_14b,68,-25.14,-0.6,-0.6,1.0,2.0
qwen25_14b,67,-25.14,-0.6,-0.6,1.0,3.0
qwen25_14b,66,-25.14,-0.6,-0.6,1.0,1.0
qwen25_14b,70,-25.14,-0.6,-0.6,1.0,4.0
qwen25_14b,71,-25.14,-0.6,-0.6,1.0,2.0
qwen25_14b,65,-25.14,-0.6,-0.6,1.0,4.0
qwen25_14b,74,-25.14,-0.6,-0.6,2.0,4.0
qwen25_14b,78,-25.14,-0.6,-0.6,1.0,1.0
qwen25_14b,72,-25.14,-0.6,-0.6,2.0,4.0
qwen25_14b,75,-25.14,-0.6,-0.6,1.0,4.0
qwen25_14b,62,-25.14,-0.6,-0.6,1.0,6.0
qwen25_14b,77,-25.14,-0.6,-0.6,5.0,4.0
qwen25_14b,76,-25.14,-0.6,-0.6,2.0,2.0
qwen25_14b,79,-25.14,-0.6,-0.6,1.0,1.0
qwen25_14b,83,-25.14,-0.6,-0.6,1.0,1.0
qwen25_14b,73,-25.14,-0.6,-0.6,1.0,1.0
qwen25_14b,81,-25.14,-0.6,-0.6,2.0,4.0
qwen25_14b,80,-25.14,-0.6,-0.6,1.0,1.0
qwen25_14b,86,-25.14,-0.6,-0.6,1.0,1.0
qwen25_14b,84,-25.14,-0.6,-0.6,1.0,1.0
qwen25_14b,89,-25.14,-0.6,-0.6,1.0,1.0
qwen25_14b,87,-25.14,-0.6,-0.6,1.0,1.0
qwen25_14b,82,-25.14,-0.6,-0.6,1.0,1.0
qwen25_14b,90,-16.76,-0.4,-0.4,1.0,4.0
qwen25_14b,85,-25.14,-0.6,-0.6,1.0,1.0
qwen25_14b,91,-16.76,-0.4,-0.4,3.0,4.0
qwen25_14b,93,-16.76,-0.4,-0.4,1.0,4.0
qwen25_14b,94,-16.76,-0.4,-0.4,1.0,7.0
qwen25_14b,92,-16.76,-0.4,-0.4,1.0,1.0
qwen25_14b,95,-16.76,-0.4,-0.4,1.0,4.0
qwen25_14b,96,-16.76,-0.4,-0.4,1.0,1.0
qwen25_14b,98,-16.76,-0.4,-0.4,1.0,2.0
qwen25_14b,88,-25.14,-0.6,-0.6,1.0,1.0
qwen25_14b,97,-16.76,-0.4,-0.4,1.0,2.0
qwen25_14b,99,-16.76,-0.4,-0.4,1.0,4.0
qwen25_14b,102,-16.76,-0.4,-0.4,2.0,4.0
qwen25_14b,100,-16.76,-0.4,-0.4,2.0,4.0
qwen25_14b,110,-16.76,-0.4,-0.4,1.0,2.0
qwen25_14b,107,-16.76,-0.4,-0.4,4.0,4.0
qwen25_14b,106,-16.76,-0.4,-0.4,2.0,4.0
qwen25_14b,104,-16.76,-0.4,-0.4,2.0,4.0
qwen25_14b,101,-16.76,-0.4,-0.4,1.0,2.0
qwen25_14b,105,-16.76,-0.4,-0.4,3.0,4.0
qwen25_14b,103,-16.76,-0.4,-0.4,1.0,2.0
qwen25_14b,112,-16.76,-0.4,-0.4,1.0,1.0
qwen25_14b,113,-16.76,-0.4,-0.4,1.0,1.0
qwen25_14b,109,-16.76,-0.4,-0.4,1.0,4.0
qwen25_14b,111,-16.76,-0.4,-0.4,2.0,5.0
qwen25_14b,114,-16.76,-0.4,-0.4,1.0,2.0
qwen25_14b,115,-16.76,-0.4,-0.4,1.0,1.0
qwen25_14b,118,-16.76,-0.4,-0.4,1.0,1.0
qwen25_14b,108,-16.76,-0.4,-0.4,4.0,4.0
qwen25_14b,119,-16.76,-0.4,-0.4,1.0,1.0
qwen25_14b,117,-16.76,-0.4,-0.4,1.0,1.0
qwen25_14b,122,-8.38,-0.2,-0.2,3.0,4.0
qwen25_14b,124,-8.38,-0.2,-0.2,1.0,1.0
qwen25_14b,120,-8.38,-0.2,-0.2,2.0,2.0
qwen25_14b,125,-8.38,-0.2,-0.2,1.0,4.0
qwen25_14b,121,-8.38,-0.2,-0.2,3.0,4.0
qwen25_14b,116,-16.76,-0.4,-0.4,1.0,1.0
qwen25_14b,129,-8.38,-0.2,-0.2,1.0,4.0
qwen25_14b,127,-8.38,-0.2,-0.2,1.0,4.0
qwen25_14b,123,-8.38,-0.2,-0.2,2.0,4.0
qwen25_14b,126,-8.38,-0.2,-0.2,1.0,1.0
qwen25_14b,128,-8.38,-0.2,-0.2,2.0,4.0
qwen25_14b,130,-8.38,-0.2,-0.2,2.0,4.0
qwen25_14b,138,-8.38,-0.2,-0.2,4.0,4.0
qwen25_14b,135,-8.38,-0.2,-0.2,5.0,4.0
qwen25_14b,136,-8.38,-0.2,-0.2,3.0,4.0
qwen25_14b,134,-8.38,-0.2,-0.2,3.0,4.0
qwen25_14b,137,-8.38,-0.2,-0.2,5.0,4.0
qwen25_14b,132,-8.38,-0.2,-0.2,3.0,4.0
qwen25_14b,131,-8.38,-0.2,-0.2,1.0,3.0
qwen25_14b,142,-8.38,-0.2,-0.2,1.0,1.0
qwen25_14b,143,-8.38,-0.2,-0.2,1.0,1.0
qwen25_14b,140,-8.38,-0.2,-0.2,3.0,2.0
qwen25_14b,145,-8.38,-0.2,-0.2,1.0,1.0
qwen25_14b,133,-8.38,-0.2,-0.2,1.0,2.0
qwen25_14b,141,-8.38,-0.2,-0.2,3.0,3.0
qwen25_14b,149,-8.38,-0.2,-0.2,1.0,1.0
qwen25_14b,148,-8.38,-0.2,-0.2,1.0,1.0
qwen25_14b,147,-8.38,-0.2,-0.2,1.0,1.0
qwen25_14b,146,-8.38,-0.2,-0.2,1.0,1.0
qwen25_14b,139,-8.38,-0.2,-0.2,4.0,4.0
qwen25_14b,144,-8.38,-0.2,-0.2,1.0,1.0
qwen25_14b,151,0.0,0.0,0.0,6.0,4.0
qwen25_14b,150,0.0,0.0,0.0,5.0,5.0
qwen25_14b,154,0.0,0.0,0.0,1.0,1.0
qwen25_14b,155,0.0,0.0,0.0,4.0,4.0
qwen25_14b,160,0.0,0.0,0.0,3.0,4.0
qwen25_14b,153,0.0,0.0,0.0,4.0,4.0
qwen25_14b,156,0.0,0.0,0.0,3.0,4.0
qwen25_14b,159,0.0,0.0,0.0,2.0,4.0
qwen25_14b,162,0.0,0.0,0.0,4.0,4.0
qwen25_14b,158,0.0,0.0,0.0,1.0,2.0
qwen25_14b,163,0.0,0.0,0.0,2.0,2.0
qwen25_14b,152,0.0,0.0,0.0,1.0,2.0
qwen25_14b,164,0.0,0.0,0.0,5.0,4.0
qwen25_14b,165,0.0,0.0,0.0,6.0,4.0
qwen25_14b,167,0.0,0.0,0.0,5.0,4.0
qwen25_14b,157,0.0,0.0,0.0,5.0,4.0
qwen25_14b,168,0.0,0.0,0.0,4.0,4.0
qwen25_14b,166,0.0,0.0,0.0,3.0,4.0
qwen25_14b,161,0.0,0.0,0.0,1.0,3.0
qwen25_14b,169,0.0,0.0,0.0,3.0,4.0
qwen25_14b,172,0.0,0.0,0.0,1.0,1.0
qwen25_14b,171,0.0,0.0,0.0,6.0,2.0
qwen25_14b,175,0.0,0.0,0.0,1.0,1.0
qwen25_14b,179,0.0,0.0,0.0,1.0,1.0
qwen25_14b,174,0.0,0.0,0.0,1.0,1.0
qwen25_14b,173,0.0,0.0,0.0,1.0,1.0
qwen25_14b,178,0.0,0.0,0.0,1.0,1.0
qwen25_14b,177,0.0,0.0,0.0,1.0,1.0
qwen25_14b,176,0.0,0.0,0.0,1.0,1.0
qwen25_14b,170,0.0,0.0,0.0,5.0,4.0
qwen25_14b,180,11.6,0.2,0.2,5.0,4.0
qwen25_14b,182,11.6,0.2,0.2,2.0,4.0
qwen25_14b,185,11.6,0.2,0.2,5.0,4.0
qwen25_14b,186,11.6,0.2,0.2,5.0,4.0
qwen25_14b,187,11.6,0.2,0.2,5.0,4.0
qwen25_14b,183,11.6,0.2,0.2,1.0,6.0
qwen25_14b,181,11.6,0.2,0.2,7.0,4.0
qwen25_14b,184,11.6,0.2,0.2,1.0,7.0
qwen25_14b,189,11.6,0.2,0.2,5.0,4.0
qwen25_14b,190,11.6,0.2,0.2,5.0,4.0
qwen25_14b,191,11.6,0.2,0.2,5.0,4.0
qwen25_14b,193,11.6,0.2,0.2,6.0,4.0
qwen25_14b,194,11.6,0.2,0.2,5.0,4.0
qwen25_14b,195,11.6,0.2,0.2,6.0,4.0
qwen25_14b,200,11.6,0.2,0.2,5.0,4.0
qwen25_14b,204,11.6,0.2,0.2,3.0,2.0
qwen25_14b,192,11.6,0.2,0.2,4.0,4.0
qwen25_14b,196,11.6,0.2,0.2,5.0,4.0
qwen25_14b,201,11.6,0.2,0.2,5.0,4.0
qwen25_14b,203,11.6,0.2,0.2,1.0,1.0
qwen25_14b,205,11.6,0.2,0.2,1.0,1.0
qwen25_14b,188,11.6,0.2,0.2,7.0,5.0
qwen25_14b,197,11.6,0.2,0.2,7.0,6.0
qwen25_14b,202,11.6,0.2,0.2,1.0,1.0
qwen25_14b,198,11.6,0.2,0.2,6.0,4.0
qwen25_14b,199,11.6,0.2,0.2,5.0,4.0
qwen25_14b,206,11.6,0.2,0.2,3.0,1.0
qwen25_14b,209,11.6,0.2,0.2,1.0,2.0
qwen25_14b,207,11.6,0.2,0.2,1.0,1.0
qwen25_14b,210,23.2,0.4,0.4,6.0,4.0
qwen25_14b,208,11.6,0.2,0.2,1.0,1.0
qwen25_14b,213,23.2,0.4,0.4,1.0,4.0
qwen25_14b,216,23.2,0.4,0.4,5.0,4.0
qwen25_14b,211,23.2,0.4,0.4,7.0,7.0
qwen25_14b,215,23.2,0.4,0.4,5.0,4.0
qwen25_14b,212,23.2,0.4,0.4,5.0,1.0
qwen25_14b,218,23.2,0.4,0.4,7.0,4.0
qwen25_14b,221,23.2,0.4,0.4,5.0,4.0
qwen25_14b,217,23.2,0.4,0.4,6.0,4.0
qwen25_14b,222,23.2,0.4,0.4,7.0,4.0
qwen25_14b,223,23.2,0.4,0.4,7.0,6.0
qwen25_14b,225,23.2,0.4,0.4,7.0,6.0
qwen25_14b,214,23.2,0.4,0.4,1.0,7.0
qwen25_14b,219,23.2,0.4,0.4,5.0,4.0
